Kód obce,Obec,ORP,Okres,Kraj,Extent
593630,Topolany,Vyškov,Vyškov,Jihomoravský kraj,"POLYGON((-567161.13 -1157206.37,-567161.13 -1154120.77,-565105.22 -1154120.77,-565105.22 -1157206.37,-567161.13 -1157206.37))"
592692,Topolná,Uherské Hradiště,Uherské Hradiště,Zlínský kraj,"POLYGON((-534419.38 -1177159.38,-534419.38 -1173228.53,-529088.9 -1173228.53,-529088.9 -1177159.38,-534419.38 -1177159.38))"
533742,Toušice,Kolín,Kolín,Středočeský kraj,"POLYGON((-703867.32 -1062091.98,-703867.32 -1058568.18,-700261.62 -1058568.18,-700261.62 -1062091.98,-703867.32 -1062091.98))"
566829,Toužetín,Louny,Louny,Ústecký kraj,"POLYGON((-778644.84 -1014229.66,-778644.84 -1010434.79,-775354.07 -1010434.79,-775354.07 -1014229.66,-778644.84 -1014229.66))"
555657,Toužim,Karlovy Vary,Karlovy Vary,Karlovarský kraj,"POLYGON((-851291.54 -1040742.85,-851291.54 -1027106.65,-838504.16 -1027106.65,-838504.16 -1040742.85,-851291.54 -1040742.85))"
519146,Tovačov,Přerov,Přerov,Olomoucký kraj,"POLYGON((-549962.86 -1143696.82,-549962.86 -1137302.53,-542417.81 -1137302.53,-542417.81 -1143696.82,-549962.86 -1143696.82))"
552089,Tovéř,Olomouc,Olomouc,Olomoucký kraj,"POLYGON((-542971.25 -1117810.59,-542971.25 -1116251.41,-540140.74 -1116251.41,-540140.74 -1117810.59,-542971.25 -1117810.59))"
552623,Třanovice,Frýdek-Místek,Frýdek-Místek,Moravskoslezský kraj,"POLYGON((-455511.62 -1119644.2,-455511.62 -1115279.6,-452364.8 -1115279.6,-452364.8 -1119644.2,-455511.62 -1119644.2))"
592706,Traplice,Uherské Hradiště,Uherské Hradiště,Zlínský kraj,"POLYGON((-541431.3 -1175475.04,-541431.3 -1172230.19,-537953.1 -1172230.19,-537953.1 -1175475.04,-541431.3 -1175475.04))"
565741,Travčice,Litoměřice,Litoměřice,Ústecký kraj,"POLYGON((-754894.24 -996864.9,-754894.24 -993214.97,-750222.29 -993214.97,-750222.29 -996864.9,-754894.24 -996864.9))"
584011,Trboušany,Ivančice,Brno-venkov,Jihomoravský kraj,"POLYGON((-613279.71 -1177386.06,-613279.71 -1174445.03,-609393.38 -1174445.03,-609393.38 -1177386.06,-613279.71 -1177386.06))"
578908,Třebařov,Moravská Třebová,Svitavy,Pardubický kraj,"POLYGON((-586453.73 -1094223.85,-586453.73 -1088224.82,-581206.72 -1088224.82,-581206.72 -1094223.85,-586453.73 -1094223.85))"
